business_id,labels
0rc3e,2 3 5 6 8
0re2p,0 5 8
0rgkv,6 8
0rorx,1 2 4 5 6 8
0rq2p,1 2 4 5 6
0rqis,1 2 5 6 8
0ruub,1 2 4 5 6 7
0rzi7,1 2 3 5 6 8
0s3z5,1 2 4 6 7
0s7wm,1 2 3 5 6 8
0s8h6,0 5 6
0s9nf,2 5 6 8
0scv4,1 2 5 6
0shj8,1 2 3 5 6
0stwm,1 2 4 5 6
0svix,1 2 5 6
0swcw,0 1 2 6 8
0swrj,2 5 6
0t34n,0 3 8
0t3cj,0 5 6 8
0t3ix,2 3 5 6 8
0t6ke,1 2 3 4 5 6 7
0tabm,0 3 6 8
0tc9p,2 5 6 8
0tqv0,0 1 2 5 6 8
0trt0,0 8
0tudg,2 5 6 8
0u1l6,0 2 3 5
0u8hj,0 1 2 5 6 8
0ugkn,2 3 4 5 6 7
0uhqx,2 3 5 6 8
0ulsw,0 1 2 4 5 7
0unkr,1 2 3 5 6 8
0uv14,1 2 5 6
0v1p7,1 2 5 6 8
0v6gl,2 5 6 7 8
0v8j8,0 8
0vd8s,0 1 4 5 6
0vre2,2 5 6
0vtru,1 2 3 5 6 8
0w01d,0 3 8
0w67f,2 5 6 7 8
0w6cx,1 2 3 5 6
0wkxz,2 5 6 8
0wn4d,0 6 8
0wof6,0 1 2 5 6
0wuwu,1 2 5 6 8
0wxz7,0 1 2 4 7
0wyma,0 1 2 5 6 8
0x908,1 2 3 5 6 8
0x9my,2 3 5 6
0xbc6,2 5 6 8
0xg8y,1 2 5 6 8
0xn17,2 5 6 7
0xnm9,0 8
0xo8z,5 6 8
0xveu,1 2 4 5 6
0y2o3,2 6 8
0ycld,6 8
0yhrn,1 2 4 5 6
0yqq9,0 1 2 5 6
0z01d,1 2 3 4 5 6 7
0z57b,0 2 5 6
0z5ry,1 2 3 4 5 6 7 8
0z6vo,1 2 5 6 8
0zb7e,1 2 5 6 7
0zg3y,0 5 8
0zrov,1 2 4 5 6 7
0zzlg,2 3 5 6
102f2,5 6 8
103ir,1 2 5 6 7
10drp,0 2 5 6 8
10p5u,1 2 3 5 6 8
10wjv,0 6 8
10xh1,1 2 5 6
10z4d,1 2 5 6
1105p,1 2 3 5 6 8
113vs,0 2 5 6
118bv,0 1 2 3 5 6
118ux,1 2 4 5 6
11aib,1 2 4 5 6 8
11gpr,1 2 5 6 8
11ioq,0 1 2 5 6 7
11m2v,1 2 3 5 6 7 8
11oi1,0 5 6 8
11sk5,1 2 5 6
11uii,1 2 5 6
122v6,1 2 3 5 6
123w4,1 2 5 6
1263s,0 2 6 7 8
12mex,0 1 2 5 8
12p62,0 5 6
12q8i,1 2 5 6 8
131go,1 2 3 4 5 6
13frb,1 2 5 6
13fw1,0 5 6 8
13jt0,2 5 6 8
13kjn,1 2 5 6 8
13nuw,1 2 5 6 8
13qgp,0 1 2 5 6 8
13wxb,0 1 2 5 6 7
144vd,0 1 2 5 6 8
149zx,1 2 5 6 8
14ipn,1 2 6
14m5f,2 6 8
14zfw,1 2 5 6 8
152yz,1 2 4 5 6
155ip,2 5 6 8
1584k,2 3 5 6 8
15918,1 2 4 6 7 8
15a44,0 1 2 5 6 8
15dh9,1 2 3 5 6
15k7r,1 2 4 5 6 7
15ofc,0 8
15qyl,0 3 8
15tqa,2 5 6
16145,1 2 5 6 7 8
16153,1 2 3 4 5 6 7
163jv,1 2 4 5 6
164ok,1 2 5 6
169vn,2 5 6
16chm,1 2 4 6
16l5s,1 2 3 4 5 6 7 8
16m1r,1 2 4 5 6 7
16o2x,1 2 3 5 6 8
1757b,1 2 4 5 6 8
175ez,2 5 6
17ctg,1 2 4 5 6
17lt8,2 5 6 8
17pb7,0 2 5 6
17qtl,1 2 3 5 6 8
17r96,1 2 4 5 6
17w4d,1 2 5 6
17wka,1 2 3 5 6 7 8
17ymz,1 2 4 5 6 8
182ao,1 2 4 5 6 7
188mq,2 5 6
18b3y,1 2 4 5 6 7
18cak,1 2 5 6
18iem,0 1 2 5 6 8
18ljz,0 8
18r62,2 3 5 6 8
18uq1,0 1 2 5 6 8
19bod,1 2 4 5 6
19c32,6 8
19f70,1 2 3 4 5 6 7
19ga6,2 3 5 6 8
19pgl,1 2 4 5 6
19sm5,1 2 5 6 8
1a01j,1 2 4 5 6 7
1a6qc,1 2 5 6 7 8
1a9dn,1 2 5 6 7
1a9jq,1 2 5 6
1aeys,1 2 5 6 8
1aizo,0 1 2 4 5 6
1andp,1 2 5 6 8
1anvj,0 3 8
1aq6n,2 4 5 6 7 8
1aywh,1 2 3 4 5 6 7
1b0u4,1 2 4 5 6
1bb6q,1 2 3 5 6 8
1bdpm,1 2 4 5 6 7
1bg2i,0 6 8
1biy5,2 5 6 8
1bmle,0 1 2 3 5 6
1bzhj,0 8
1c3sl,2 3 5 6 8
1c4ak,2 4 5 6 8
1c5p2,1 2 5 6 8
1ca1k,1 2 4 5 6 7
1cajm,0 8
1ceoc,1 2 6 7
1cnr4,0 6 8
1cp6q,1 2 5 6
1cqlh,1 2 5 6 8
1d1vg,1 2 4 5 6
1d3im,1 2 5 6
1db08,2 5 6 7 8
1dcev,1 2 5 6
1dfyw,1 2 3 5 6 8
1di7s,2 3 4 5 6
1dk14,1 2 5 6
1dm5g,0 1 2 5 6 7 8
1do0d,1 2 5 6
1dsri,2 3 5 6 8
1e2pk,1 2 4 5 6 7
1e34p,1 2 4 5 6
1ec43,1 2 5 6
1ekse,1 2 5 6 8
1eogb,2 3 5 6 8
1eqn4,2 5 6
1f3xl,1 2 5 6 7
1f4sk,1 2 4 5 6 8
1f5ex,2 3 5 6
1f8kz,0 2 4 6 8
1f99i,1 2 5 6 7 8
1f9nm,2 3 4 5 6
1fbqh,2 5 6 8
1fg2d,1 2 4 5 6 7
1fi4u,1 2 5 6 7
1fjj2,0 8
1fkf8,1 2 5 6 8
1fpvt,1 2 5 6
1gg00,2 5 6
1gnvj,1 2 5 6 8
1gozl,0 5 8
1gqze,0 1 2 5 6 8
1h4vx,0 1 2 5 6 8
1h9m0,0 2 5 6 8
1hgih,0 5 6 8
1hig5,1 2 3 5 6
1hu0r,0 1 2 5 6 8
1hv8u,1 2 5 6
1i4bi,1 2 5 6 8
1iaz6,1 2 5 6 8
1icrn,0 1 2 5 6 8
1id5n,0 1 2 4 5 6
1ifxf,1 2 3 5 6
1iktw,0 2 4 5 6 8
1iuux,1 2 3 5 6
1iz4c,1 2 3 5 6 8
1j2g2,1 2 5 6
1jetm,1 2 5 6
1jfje,1 2 5 6 8
1jhd4,0 6 8
1jik6,1 2 5 6 8
1jlh9,2 3 5 6
1jlrm,2 5 6 8
1jmp4,2 6 8
1jrct,2 5 6 8
1jvo5,0 1 2 5 6
1jvqu,1 2 3 5 6 8
1k3v3,2 6 8
1k8ru,0 2 6 8
1k9gq,1 2 3 4 5 6 7
1kr59,1 2 4 5 6 8
1kw5i,1 2 5 6 8
1kw6g,1 2 3 5 6
1kwj3,1 2 4 5 6
1kxqu,1 2 5
1l72d,1 2 5 6 8
1la8k,1 2 5 6
1lbe9,1 2 4 5 6 8
1lcof,1 2 5 6
1lhhv,1 2 3 5 6
1lneo,1 2 5 6
1lnzk,4 6 8
1ltns,0 6
1lvgn,0 8
1ly64,2 3 5 6
1lyyo,1 2 5 6 8
1mb6s,1 2 5 6
1me67,0 1 2 5 6 8
1moxe,1 2 3 5 6 8
1mqg0,1 2 5 6
1mu0b,1 2 4 5 6 8
1mwwj,1 2 3 5 6
1n9ss,0 6 8
1n9zg,2 4 5 6 8
1nbbh,1 2 3 5 6 8
1nd86,2 5 6
1nlp7,1 2 3 5 6
1nnvp,1 2 5 6
1npai,0 1 2 5 6 8
1nr5r,2 5 6 8
1nsa9,1 2 4 5 6
1oci4,0 5 8
1odko,1 2 3 5 6 8
1oevl,1 2 5 6
1olou,0 6
1ooqj,1 2 4 5 6 8
1osph,0 1 2 5 6 8
1ovby,1 2 5 6 8
1oveb,1 2 4 5 6 7 8
1p4rg,1 2 5 6
1pdge,0 5 6 8
1phyf,1 2 5 6
1pj73,0 1 2 3 4 5 6 8
1pj8b,0 1 2 5 6
1pk3p,0 5 6 8
1pkme,0 1 2 5 6
1ppq2,2 5 6 8
1pqox,1 2 5 6 8
1ps9h,1 2 4 5 6 8
1q0ls,1 2 3 5 6
1q4qk,1 2 5 6
1q6je,0 8
1qoat,1 2 4 5 6 7 8
1qrdw,1 2 5 6 7 8
1qyq7,0 1 2 4 5 6 7 8
1r8xp,1 2 5 6 7
1rdjf,1 2 3 4 5 6
1red8,1 2 3 5 6
1rhp2,0 1 2 4 5 6
1rju5,1 2 3 5 6
1rsa5,0 1 8
1ruq0,0 1 2 5 6
1sdbh,2 5 6
1sf7p,1 2 5 6
1snie,0 1 2 5 6
1stpo,0 1 2 5 6 8
1t6tb,1 2 3 5 6
1t8wu,0 1 2 4 6 7 8
1ta3y,2 3 5 6 8
1tgnj,1 2 5 6
1to59,1 2 4 5 6
1tp9i,6 8
1tpmp,0 2 5 6
1tpqe,0 5 6 8
1tq1t,1 2 5 6 8
1u679,0 1 2 5 6 8
1u8ar,1 2 5 8
1u8dz,0 1 2 3 5 6 8
1uc9e,2 3 5 6
1ucp9,0 1 2 3 4 5 6 8
1ugnb,2 6 8
1uk1n,0 1 2 5 6 8
1um2k,1 2 5 6 7
1uq1s,2 3 5 6 8
1uyqo,1 2 5 6 8
1v5c0,1 2 4 5 6 7
1v6dv,1 2 4 5 6 7 8
1v7b5,2 3 5 6 8
1va5w,1 2 6 8
1vi4a,1 2 5 6 8
1w2d3,2 3 5 6 8
1w45u,0 5 6 8
1w7x4,0 4
1we82,1 2 4 5 6
1wevr,1 2 4 5 6 7
1wlmv,0 2 8
1wmxi,1 2 5 6 8
1wpjf,0 1 5 6 8
1wt2q,2 5 6 8
1wtez,0 6 8
1wtnl,1 2 5 6 8
1wuyt,1 2 3 5 6
1wvv4,0 1
1xa0x,2 3 5 6 8
1xelt,2 5 6 8
1xgc0,1 2 5 6 8
1xt3a,1 2 3 5 6
1y6kr,2 6 8
1yfkb,0 1 2 5 6
1yftp,1 2 5 6
1yht9,1 2 5 6 8
1yirp,1 2 5 6 8
1yppr,1 2 3 5 6
1z3sk,0 5 6 8
1z9c6,1 2 5 6 8
1za4p,5 6 8
1zf3m,1 2 5 6 7 8
1zfvn,0 1 5 8
1zjuy,1 2 3 5 6
1zngh,0 1 5 6 8
1zpzs,1 2 5 6
1zqhe,1 2 5 6 7
1zuh9,2 3 5 6 8
202i6,1 2 3 5 6
207ue,0 1 2 5 6
209b2,1 2 5 6 8
20b8p,1 2 5 6
20frc,0 5 8
20hsy,1 2 5 6 8
20icp,0 2 5 6 8
20nk1,0 1 2 5 6 8
20ukp,1 2 4 5 6
20uu8,1 2 5 6 8
20xc6,0 1 2 5 6 8
215s9,1 2 3 5 6
21l58,0 2 6 8
21qgl,6 8
21smj,2 5 6 8
222in,1 2 3 5 6
222va,1 2 3 5 6
2275p,0 1 2 4 5 6 7 8
22ibt,0 1 2 5 6 8
22oiz,0 2 3 5 6 8
22tj0,1 2 4 5 6
22z8w,0 1 2 5 6 8
2350j,1 2 5 6 8
2352y,1 2 4 5 6
23dbq,2 5 6 8
23dpa,0 2 5 6 8
23ual,1 2 4 5 6
23z2e,2 5 6 8
242te,2 5 6 8
249oh,1 2 3 5 6 8
24g3m,0 1 2 5 6
24q28,0 5 8
24scj,2 5 6 8
24x3f,1 2 4 5 6 7
253fx,1 2 4 5 6 7
258tz,1 2 5 6 8
25dvk,1 2 4 5 6 7 8
25f99,1 2 5 6 8
25gby,1 2 4 5 6
25nyb,1 2 5 6 7
25to6,1 2 3 5 6
25uou,0 1 2 5 6 8
25vxy,1 2 3 5 6 8
25yf1,1 2 3 5 6 8
26165,1 2 3 5 6 8
263ky,2 5 6 8
2653a,1 2 4 5 6 7
26ren,2 5 6 8
26spn,1 2 5 6 7
26yii,1 2 5 6
26ysm,1 2 5 6 8
26zdr,1 2 5 6
27002,0 1 2 5 6 8
271r3,1 2 5 6 8
273hy,0 2 5 6
279pd,1 2 4 5 6
27hty,1 2 6 8
27lj4,1 2 5 6 8
27rwo,1 2 5 6 8
27trb,1 2 4 5 6 7 8
27v5m,2 5 6 8
282os,1 2 5 6 8
29bln,0 1 2 5 6
29fdd,1 2 4 5 6 7
29fu7,2 5 6 8
29lbo,2 5 6 8
29lbs,1 2 5 6 8
29pjd,2 5 6
29vk2,1 2 5 6
29wh3,2 3 5 6 8
2a06s,1 2 5 6
2a7ng,1 2 5 6
2acak,1 2 4 5 6 7
2acuw,2 3 4 5 6
2aczx,2 5 6 8
2afxe,2 4 5 6
2axb1,0 6 8
2axyo,1 2 3 5 6 8
2b12o,0 1 2 4 5 6 7
2b5z7,2 3 5 6
2bc5v,0 1 2 5 6 8
2bib3,2 6
2bk9j,1 2 4 5 6 7 8
2bmxs,0 1 2 5 6
2bsuh,1 2 5 6 7
2bu0l,1 2 5 6 7 8
2bul4,0 1 2 5 6 8
2bxje,0 1 2 5 6
2c88y,0 8
2cdtu,1 2 5 6 8
2cij2,1 2 3 5 6
2crs5,1 2 3 5 6
2ctxo,2 4 5 6 8
2cu1k,1 2 5 6 8
2cyqd,1 2 5 6 8
2dce8,1 2 5 6
2ddub,1 2 5 6
2dh1w,0 1 2 4 5 6 7
2dpse,1 2 3 5 6
2dxy7,2 4 5 6
2e0ln,0 1 2 5 6 8
2e84u,0 1 2 5 6 7 8
2ehyg,2 3 5 6 8
2ezcs,1 2 3 5 6 7
2f2ty,1 2 3 5 6 7 8
2f6zq,1 2 3 5 6 8
2fcma,1 2 5 6 8
2fkxy,0 1 2 4 5 6
2fmea,0 3 8
2fqx7,0 1 2 3 5 6
2frag,1 2 5 6
2ft9g,1 2 3 5 6
2fthl,2 5 6
2g18k,2 4 5 6 8
2g2yf,0 2 5 8
2g4bm,0 3 8
2gcw8,1 2 5 6 8
2ggft,0 1 2 5 6 7
2glba,1 2 5 6 8
2grk0,1 2 4 5 6 7
2h44q,0 1 8
2h731,2 5 6 8
2hc70,1 2 5 6 7
2hdsd,0 1 2 5 6
2hk1v,1 2 5 6 7
2hq3j,1 2 3 5 6 8
2hth7,1 2 3 5 6 8
2hx1g,0 5 6
2i2gf,1 2 4 5 6 7 8
2i3j3,1 2 5 6
2i5yw,2 5 6 8
2idw2,0 1 2 5 6
2if6u,0 1 2 5 6
2ikxe,0 1 2 4 5 6 7
2in4v,1 2 5 6 8
2iqc4,2 5 6 8
2iqnk,2 5 6 8
2iqvb,0 2 5 6 8
2is66,0 5 6 8
2iwih,2 5 6
2iwjf,1 2 4 5 6 7
2j4ff,0 1 6
2j5p0,1 2 5 6
2j9qa,2 5 6
2jgav,0 1 2 5 6
2jk4n,1 2 3 5 6 8
2jm5n,0 5 6 8
2jspw,1 2 5 6
2juja,1 2 4 5 6
2jw3q,1 2 5 6 8
2jxew,1 2 3 5 6 8
2k8rb,2 3 5 6 8
2km2h,0 1 2 5 6
2kqse,0 5 6 8
2kswt,0 1 2 5 6 7
2kvvx,0 5 6 8
2kwq7,2 5 6 8
2l2fz,2 5 6
2lho0,1 2 3 5 6 8
2llnt,1 2 5 6 7
2ltfz,1 2 5 6
2lym1,0 8
2m196,1 2 5 6
2m231,1 2 5 6
2mjkr,0 8
2mlt3,1 2 5 6 8
2mm8y,1 2 5 6 8
2n4fu,2 5 6 8
2n9gy,1 2 4 5 6 8
2nrrq,0 2 5 6 8
2nt7j,2 3 5 6 8
2oacw,0 6 8
2okij,2 3 5 6 8
2ox8u,0 1 2 5 6 8
2ozhc,2 4 5 6 8
2p0il,2 5 6 8
2p4vg,1 2 3 4 5 6 7
2p6vt,1 2 5 6 8
2p8ss,1 2 3 5 6
2pb9l,1 2 5 6
2pjl8,1 2 4 5 6
2pnu5,2 3 5 6 8
2prpb,2 3 5 6 8
2pwiz,1 2 5 6 8
2q08n,1 2 5 6 8
2q2ll,1 2 3 5 6 8
2q6qi,1 2 3 5 6 8
2qa5e,1 2 5 6
2qjmm,1 2 5 6
2r5xw,2 3 4 5 6
2r9ir,0 1 2 5 6 8
2rbmi,2 3 5 6 8
2rfh1,1 2 5 6
2rmv6,0 1 2 5 6 8
2rs7b,2 3 5 6 8
2ru96,0 2 5 6 7 8
2rv7z,0 1 2 5 6 8
2rwpd,1 2 4 5 6
2s0fu,1 2 3 5 6 8
2s2ha,2 5 6
2s9i5,6 8
2sf9c,2 3 5 6
2smnw,1 2 3 5 6 8
2sp1s,2 5 6
2sq9e,0 3 8
2sr8w,0 8
2srhx,2 3 5 6 8
2t06z,2 3 5 6 8
2t86y,1 2 3 5 6
2t9m4,2 5 6
2tse9,1 2 4 5 6
2tso7,1 2 4 5 6
2u6qe,0 1 2 3 5 6 7 8
2u8ew,1 2 5 6 8
2u9ky,1 2 4 5 6 7
2ufja,1 2 5 6 8
2uj1k,2 3 5 6 8
2uo1d,1 2 3 4 5 6 7
2ut5c,2 5 6 7
2uzp8,1 2 3 5 6 8
2vtfz,1 2 5 6
2vxcc,1 2 3 5 6 8
2w0il,0 5 6 8
2w3s8,1 2 4 5 6
2w9fc,2 5 6 8
2w9im,2 5 6 8
2wa83,1 2 5 6 8
2wbil,1 2 5 6
2wcdy,1 2 4 5 6
2wd4x,0 5 8
2xcg2,1 2 4 5 6
2xddl,1 2 5 6 8
2xl0h,1 2 4 5 6
2xu0t,2 5 6 8
2xw52,1 2 3 5 6 8
2y2rp,2 3 5 6 8
2yauf,1 2 4 5 6
2ybxd,1 2 3 5 6
2yeud,1 2 4 5 6 7
2yfj8,6 8
2yjze,1 2 3 5 6 7 8
2ykgp,1 2 3 5 6 8
2ymiz,1 2 4 5 6 7
2ymov,3 8
2ywgu,0 8
2yzg4,0 1 2 5 6 8
2zb85,2 6 8
2zhhk,1 2 4 5 6 8
2zkot,1 2 3 4 5 6 7
2zup2,0 1 2 8
2zxk3,1 2 5 6 7 8
30a4w,1 2 4 5 6
30cyu,1 2 5 6 8
30mrn,0 2 6
30qm8,1 2 5 6 7 8
30rgq,2 6 8
30sn8,1 2 4 5 6 7
312zd,2 5 6 8
31578,1 2 5 6 8
31f52,0 1 2 5 6 8
31ghu,1 2 5 6
31gux,0 1 2 3 5 6 8
31ikl,2 4 8
31jvz,0 1 2 3 5 6
31n0s,1 2 5 6 8
31qr1,0 1 2 5 6 8
31xwa,1 2 5 6
31y16,1 2 4 5 6 7 8
321ey,0 3 5 6 8
32m06,1 2 4 5 6
32my8,1 2 4 5 6 8
32rak,0 1 2 4 5 6
3312z,2 5 6 8
33cmf,6 8
33f85,2 3 5 6
33p3w,1 2 5 6
33pkk,6 8
344q5,0 2 5 6 8
346um,1 2 5 6 7
34d5s,1 2 3 5 6 8
34hdl,2 5 6
34i42,1 2 4 5 6
34kyx,0 2 5 6 8
34utl,2 3 5 6 8
34vp7,1 2 5 6 8
34w54,0 2 5 6 8
350m1,1 2 3 5 6 7
352iu,0 1 2 5 6
357kz,1 2 4 5 6 7
3580p,1 2 3 5 6 8
35dol,0 2 5 6 8
361ze,0 1 2 4 5 6 7
36btp,0 1 2 5 6 8
36gec,0 1 2 5 6 8
36rec,0 8
36uyl,1 2 5 6
370k3,1 2 5 6 8
374nr,1 2 3 5 6 8
376an,2 5 6 8
37b21,1 2 5 6 8
37biw,1 2 5 6 7
37if9,1 2 4 5 6 7 8
37k5h,1 2 4 5 6 8
380gw,1 2 4 5 6
383jc,0 2 5 6 8
3867q,1 2 4 5 6
388lp,2 3 5 6
389dd,2 3 5 6 8
38b73,1 2 5 6
38ije,1 2 3 4 5 6 7
38jfw,0 1 2 5 6 7
38lwf,0 1 2 5 6 8
394o5,1 2 5 6 8
39aji,0 8
39da0,1 2 5 6 8
39e4c,1 2 3 5 6 8
39gcr,1 2 3 5 6 8
39hup,0 1 2 6 7 8
39ie0,1 2 4 5 6
39sxz,1 2 4 5 6
3a4wc,0 1 2 4 5 6
3abm9,0 1 2 5 6 8
3acri,2 3 5 6 7
3aebl,0 1 2 5 6 8
3amll,6 8
3aonv,1 2 3 5 6
3aq9z,0 2 5 6 7 8
3az75,1 2 5 6
3b0bd,0 1 6
3b38w,1 2 3 5 6
3c1yc,0 5 6 8
3c9si,0 2 3 5 6 8
3clst,1 2 5 6
3cpeo,2 5 6 8
3d1cw,0 1 2 4 5 6 7
3d4ec,1 2 5 6 7 8
3d4yz,0 5 6 8
3d5es,0 2 5 6
3da1b,0 1 2 5 8
3dgri,1 2 4 5 6
3dng5,0 5 6
3dnyh,0 1 2 5 6 8
3dtq0,0 2 5 6
3e3ov,0 2 5 6 8
3e7aa,0 6 8
3eb5l,1 2 4 5 6
3ekst,1 2 5 6
3eoj5,0 3 8
3exi9,0 2 6 8
3exv5,0 1 2 5 6 8
3ey33,2 3 5 6 8
3f459,0 5 6 8
3f89e,1 2 4 5 6 7
3fkav,0 3 8
3fr95,1 2 3 4 5 6 7
3fswv,0 1 2 5 6
3g3lt,1 2 5 6 8
3g63s,2 5 6 8
3gatb,1 2 5 6
3gc11,2 4 5 6 7 8
3ggkj,0 1 2 5 8
3gjcv,5 6
3gke3,1 2 4 5 6 7 8
3h1mv,1 2 5 6 8
3h8zc,1 2 5 6 8
3hcbc,1 2 4 5 6 7
