business_id,class1,class2,class3,class4,class5,class6,class7,class8,class9
0s9nf,0,0,1,0,0,1,1,0,0
0scv4,0,0,1,1,0,1,1,0,1
0shj8,0,1,1,1,0,1,1,0,0
0stwm,0,0,1,1,1,1,1,1,0
0svix,0,0,1,1,0,1,1,0,1
0swcw,1,1,1,0,0,1,1,0,1
0swrj,0,0,1,1,0,1,1,0,1
0t34n,1,0,0,1,0,0,0,0,1
0t3cj,0,0,0,1,0,1,1,0,1
0t3ix,0,0,0,1,0,1,0,0,1
0t6ke,0,1,1,1,1,1,1,0,1
0tabm,0,0,0,1,0,0,1,0,1
0tc9p,0,0,0,1,0,1,1,0,1
0tqv0,0,1,1,1,0,1,1,0,1
0trt0,1,0,0,1,0,0,0,0,1
0tudg,0,0,0,1,0,1,1,0,1
0u1l6,0,0,0,1,0,1,1,0,1
0u8hj,0,1,0,0,0,0,1,0,1
0ugkn,0,0,0,1,1,1,1,0,0
0uhqx,0,0,0,1,0,1,0,0,1
0ulsw,0,1,1,0,0,1,1,0,0
0unkr,0,0,1,1,0,1,1,0,1
0uv14,0,0,1,1,0,1,1,0,1
0v1p7,0,0,1,1,0,1,1,0,1
0v6gl,0,0,0,1,0,1,1,0,1
0v8j8,0,0,0,1,0,0,0,0,1
0vd8s,0,0,1,0,0,1,1,0,1
0vre2,0,0,1,1,0,1,1,0,1
0vtru,0,0,1,1,0,1,1,0,1
0w01d,1,0,0,1,0,0,0,0,1
0w67f,0,0,1,0,0,1,1,0,1
0w6cx,0,0,0,1,0,1,1,0,1
0wkxz,0,0,1,1,0,1,1,0,1
0wn4d,1,0,0,0,0,0,1,0,1
0wof6,0,1,1,1,0,1,1,0,0
0wuwu,0,1,1,1,0,1,1,0,1
0wxz7,0,0,1,0,1,1,1,1,0
0wyma,0,0,0,0,0,0,1,0,1
0x908,0,0,1,1,0,1,1,0,0
0x9my,0,0,0,1,0,1,1,0,1
0xbc6,0,0,1,1,0,1,1,0,1
0xg8y,0,0,1,1,0,1,1,1,0
0xn17,0,0,1,1,0,1,1,0,1
0xnm9,0,0,0,1,0,0,0,0,1
0xo8z,0,0,1,0,0,1,1,0,1
0xveu,0,0,1,1,1,1,1,0,1
0y2o3,0,0,1,0,0,1,1,0,0
0ycld,0,0,0,0,0,0,0,0,1
0yhrn,0,1,1,1,0,1,1,0,0
0yqq9,0,0,1,1,0,1,1,0,1
0z01d,0,0,1,1,1,1,1,1,1
0z57b,0,0,0,1,0,1,1,0,1
0z5ry,0,0,1,1,1,1,1,0,0
0z6vo,0,0,1,1,0,1,1,1,0
0zb7e,0,1,1,1,0,1,1,0,1
0zg3y,1,0,0,1,0,0,0,0,1
0zrov,0,0,1,1,0,1,1,0,0
0zzlg,0,0,1,1,1,1,1,0,1
102f2,0,0,0,1,0,0,1,0,1
103ir,0,1,1,1,1,1,1,0,0
10drp,0,0,1,0,0,1,1,0,1
10p5u,0,0,0,1,0,1,1,0,1
10wjv,0,0,0,1,0,0,1,0,1
10xh1,0,0,1,1,0,1,1,0,1
10z4d,0,0,1,1,0,1,1,0,1
1105p,0,0,1,1,1,1,1,0,1
113vs,0,0,1,1,0,1,1,0,1
118bv,0,1,1,1,1,1,1,0,0
118ux,0,1,1,0,0,1,1,0,1
11aib,0,0,1,1,0,1,1,0,1
11gpr,0,0,0,1,0,0,1,0,1
11ioq,0,1,1,0,0,1,1,0,1
11m2v,0,0,1,1,0,1,1,1,1
11oi1,0,0,0,0,0,1,1,0,1
11sk5,0,0,0,1,0,1,1,0,1
11uii,0,0,1,1,1,1,1,0,0
122v6,0,0,1,1,0,1,1,0,1
123w4,0,0,1,1,1,1,1,0,0
1263s,0,0,0,1,0,1,1,0,1
12mex,0,0,0,1,0,1,1,0,1
12p62,0,0,1,1,1,1,1,0,0
12q8i,0,0,1,1,0,1,1,1,0
131go,0,1,1,1,1,1,1,1,0
13frb,0,0,1,1,0,1,1,0,1
13fw1,0,0,0,0,0,0,0,0,1
13jt0,0,0,1,1,1,1,1,0,0
13kjn,0,0,1,1,0,1,1,0,1
13nuw,0,1,1,1,0,1,1,1,0
13qgp,0,1,1,0,0,1,1,0,1
13wxb,0,0,1,0,0,1,1,0,0
144vd,0,0,1,1,0,1,0,0,1
149zx,0,0,1,1,0,1,1,0,1
14ipn,0,1,1,0,1,1,1,0,1
14m5f,0,0,1,1,0,1,1,0,1
14zfw,0,0,1,1,0,1,1,0,1
152yz,0,0,1,1,0,1,1,0,0
155ip,0,0,1,1,0,1,1,0,0
1584k,0,0,1,1,0,1,1,0,1
15918,0,0,1,0,0,1,1,0,1
15a44,0,0,1,1,0,1,1,0,1
15dh9,0,0,1,1,0,1,1,0,1
15k7r,0,1,1,1,1,1,1,0,0
15ofc,0,0,0,0,0,0,0,0,1
15qyl,0,0,0,1,0,0,0,0,1
15tqa,0,0,1,1,0,1,1,0,1
16145,0,0,1,1,0,1,1,0,0
16153,0,0,1,1,1,1,1,0,1
163jv,0,1,1,1,0,1,1,0,0
164ok,0,0,1,1,1,1,1,0,1
169vn,0,0,1,1,0,1,1,0,0
16chm,0,0,1,0,1,1,1,0,0
16l5s,0,1,1,1,1,1,1,0,0
16m1r,0,0,1,1,0,1,1,0,0
16o2x,0,1,1,1,1,1,1,0,0
1757b,0,0,0,1,0,1,1,0,1
175ez,0,0,1,1,0,1,1,0,1
17ctg,0,0,1,1,0,1,1,0,0
17lt8,0,0,1,1,0,1,1,0,1
17pb7,0,0,0,1,0,1,1,0,1
17qtl,0,0,1,1,0,1,1,0,0
17r96,0,1,1,1,0,1,1,1,0
17w4d,0,0,1,1,0,1,1,0,1
17wka,0,0,1,1,0,1,1,0,1
17ymz,0,0,1,0,0,1,1,0,1
182ao,0,1,1,0,0,1,1,0,0
188mq,0,0,1,1,0,1,1,1,0
18b3y,0,0,1,1,1,1,1,0,0
18cak,0,0,0,1,0,1,0,0,0
18iem,0,0,1,1,0,1,1,0,1
18ljz,1,0,0,0,0,0,0,0,1
18r62,0,0,1,1,0,1,1,0,1
18uq1,0,0,1,1,0,1,1,0,1
19bod,0,0,1,1,0,1,1,0,1
19c32,0,0,1,0,0,0,1,0,1
19f70,0,1,1,1,1,1,1,1,0
19ga6,0,0,0,1,0,1,1,0,1
19pgl,0,0,1,1,0,1,1,0,1
19sm5,0,0,1,1,0,1,1,0,0
1a01j,0,1,1,0,1,1,1,0,0
1a6qc,0,0,1,0,0,1,1,0,1
1a9dn,0,1,1,1,1,1,1,1,1
1a9jq,0,0,1,1,1,1,1,0,1
1aeys,0,0,1,1,0,1,1,0,1
1aizo,0,1,1,1,0,1,1,0,0
1andp,0,0,1,1,0,1,1,0,1
1anvj,1,0,0,1,0,0,0,0,1
1aq6n,0,0,1,1,1,1,1,0,1
1aywh,0,1,1,1,1,1,1,1,0
1b0u4,0,1,1,1,1,1,1,1,0
1bb6q,0,0,1,1,0,1,1,0,1
1bdpm,0,0,1,1,1,1,1,0,1
1bg2i,0,0,1,0,0,1,1,0,1
1biy5,0,0,1,1,0,1,1,0,1
1bmle,0,0,1,1,0,1,1,0,0
1bzhj,1,0,0,1,0,0,0,0,1
1c3sl,0,0,0,1,0,1,0,0,1
1c4ak,0,0,1,1,1,1,1,0,1
1c5p2,0,0,1,1,0,1,1,0,1
1ca1k,0,1,1,1,1,1,1,1,0
1cajm,1,0,0,1,0,1,0,0,1
1ceoc,0,0,1,1,1,1,1,0,0
1cnr4,1,0,0,1,0,0,1,0,1
1cp6q,0,1,1,1,0,1,1,1,1
1cqlh,0,0,1,1,1,1,1,0,1
1d1vg,0,0,1,1,0,1,1,0,0
1d3im,0,1,1,1,0,1,1,1,0
1db08,0,0,1,0,1,1,1,1,0
1dcev,0,0,1,1,0,1,1,0,0
1dfyw,0,0,1,1,0,1,1,0,1
1di7s,0,0,0,1,0,1,1,0,1
1dk14,0,1,1,1,0,1,1,1,0
1dm5g,0,0,1,1,0,1,1,0,1
1do0d,0,0,1,1,0,1,1,1,0
1dsri,0,0,0,1,0,1,1,0,1
1e2pk,0,1,1,1,0,1,1,1,0
1e34p,0,1,1,1,0,1,1,0,1
1ec43,0,0,1,1,0,1,1,0,1
1ekse,0,0,1,1,0,1,1,0,1
1eogb,0,0,0,1,0,1,1,0,0
1eqn4,0,0,1,1,0,1,1,0,1
1f3xl,0,0,1,0,1,1,1,0,0
1f4sk,0,0,0,1,1,1,1,0,1
1f5ex,0,0,1,1,0,1,1,0,1
1f8kz,0,0,1,1,0,1,1,0,0
1f99i,0,0,1,1,1,1,1,1,0
1f9nm,0,0,1,1,0,1,1,0,1
1fbqh,0,0,1,1,0,1,1,0,1
1fg2d,0,0,1,1,0,1,1,0,1
1fi4u,0,1,1,1,0,1,1,0,0
1fjj2,0,0,0,1,0,0,0,0,1
1fkf8,0,0,1,1,0,1,1,0,1
1fpvt,0,0,1,1,0,1,1,0,1
1gg00,0,0,0,1,0,1,1,0,1
1gnvj,0,1,1,1,1,1,1,0,0
1gozl,0,0,0,1,0,1,1,0,1
1gqze,0,0,1,1,0,1,1,0,1
1h4vx,0,0,1,1,0,1,1,0,1
1h9m0,0,0,1,1,0,1,1,0,1
1hgih,0,0,1,0,0,1,1,0,1
1hig5,0,0,1,1,0,1,1,0,0
1hu0r,0,0,1,1,0,1,1,0,1
1hv8u,0,0,1,1,0,1,1,0,0
1i4bi,0,0,1,1,0,1,1,0,0
1iaz6,0,0,1,1,0,1,1,0,1
1icrn,0,0,1,1,0,1,1,0,1
1id5n,0,0,0,1,0,1,1,0,1
1ifxf,0,0,1,1,0,1,1,0,0
1iktw,0,0,1,1,1,1,1,1,0
1iuux,0,0,0,1,0,1,1,0,0
1iz4c,0,0,1,1,0,1,1,0,0
1j2g2,0,1,1,1,0,1,1,0,0
1jetm,0,1,1,1,1,1,1,0,1
1jfje,0,0,1,1,0,1,1,0,1
1jhd4,0,0,0,1,0,1,1,0,1
1jik6,0,0,1,1,0,1,1,0,0
1jlh9,0,0,1,1,0,1,1,0,1
1jlrm,0,0,1,1,0,1,1,0,1
1jmp4,0,0,1,1,0,1,1,0,1
1jrct,0,0,1,1,0,1,1,0,1
1jvo5,0,0,1,1,0,1,1,0,1
1jvqu,0,0,1,1,0,1,1,0,1
1k3v3,0,0,0,1,0,1,1,0,1
1k8ru,0,0,1,1,0,1,1,0,1
1k9gq,0,1,1,1,1,1,1,1,1
1kr59,0,0,1,0,0,1,1,0,0
1kw5i,0,1,1,0,0,1,1,0,1
1kw6g,0,0,1,1,0,1,1,0,1
1kwj3,0,0,1,1,0,1,1,0,1
1kxqu,0,0,1,1,0,1,1,0,1
1l72d,0,1,1,0,0,1,1,0,0
1la8k,0,0,1,1,0,1,1,0,1
1lbe9,0,1,1,1,0,1,1,0,0
1lcof,0,1,1,1,1,1,1,0,0
1lhhv,0,1,1,1,0,1,1,0,1
1lneo,0,0,0,1,0,1,1,0,1
1lnzk,0,0,0,1,0,0,0,0,1
1ltns,0,0,0,1,0,1,1,0,1
1lvgn,1,0,0,0,0,0,1,0,1
1ly64,0,0,1,1,0,1,1,0,1
1lyyo,0,0,1,1,0,1,1,0,1
1mb6s,0,0,1,1,0,1,1,0,1
1me67,0,1,1,1,0,1,1,0,0
1moxe,0,0,1,1,0,1,0,0,1
1mqg0,0,1,1,1,1,1,1,0,0
1mu0b,0,0,1,1,0,1,1,0,1
1mwwj,0,0,1,1,0,1,1,0,1
1n9ss,0,0,0,1,0,0,1,0,1
1n9zg,0,0,0,1,0,1,1,0,0
1nbbh,0,0,1,1,0,1,1,0,0
1nd86,0,0,1,1,0,1,1,0,1
1nlp7,0,1,1,1,0,1,1,0,1
1nnvp,0,0,1,1,0,1,1,1,1
1npai,0,0,0,1,0,1,1,0,1
1nr5r,0,0,1,1,0,1,1,0,1
1nsa9,0,1,1,0,1,1,1,1,0
1oci4,0,0,0,1,0,1,0,0,1
1odko,0,0,1,1,1,1,1,0,0
1oevl,0,0,1,1,0,1,1,0,1
1olou,0,0,0,0,0,1,1,0,1
1ooqj,0,1,1,1,0,1,1,1,0
1osph,0,0,1,1,0,1,1,0,1
1ovby,0,0,1,1,0,1,1,0,0
1oveb,0,0,1,1,0,1,1,0,0
1p4rg,0,1,1,1,1,1,1,0,0
1pdge,0,0,1,0,0,1,1,0,1
1phyf,0,0,1,1,0,1,1,0,0
1pj73,0,1,1,1,1,1,1,0,1
1pj8b,0,0,1,1,0,1,1,0,1
1pk3p,0,0,0,1,0,1,1,0,1
1pkme,0,1,1,1,0,1,1,0,0
1ppq2,0,0,1,1,0,1,1,0,1
1pqox,0,0,1,1,0,1,1,0,1
1ps9h,0,0,1,1,0,1,1,0,1
1q0ls,0,0,1,1,0,1,1,0,1
1q4qk,0,1,1,1,0,1,1,0,0
1q6je,1,0,0,0,0,0,1,0,1
1qoat,0,1,1,1,1,1,1,0,0
1qrdw,0,0,1,1,1,1,1,0,0
1qyq7,0,0,1,1,0,1,1,0,0
1r8xp,0,1,1,1,1,1,1,1,0
1rdjf,0,0,1,1,0,1,1,0,0
1red8,0,0,1,1,0,1,1,0,1
1rhp2,0,1,1,0,0,1,1,0,1
1rju5,0,0,1,1,0,1,1,0,1
1rsa5,1,0,0,1,0,0,0,0,1
1ruq0,0,0,1,1,0,1,1,0,0
1sdbh,0,0,1,0,0,1,1,0,1
1sf7p,0,0,1,1,0,1,1,0,1
1snie,0,1,1,0,0,1,1,1,0
1stpo,0,0,1,1,0,1,1,0,1
1t6tb,0,0,1,1,1,1,1,0,0
1t8wu,0,0,0,1,0,1,1,0,1
1ta3y,0,0,0,1,0,1,1,0,1
1tgnj,0,1,1,1,1,1,1,0,0
1to59,0,0,1,1,0,1,1,0,1
1tp9i,0,0,0,1,0,1,1,0,1
1tpmp,0,0,1,1,0,1,1,0,1
1tpqe,0,0,0,1,0,1,1,0,1
1tq1t,0,0,1,1,0,1,1,0,0
1u679,0,0,1,0,0,1,1,0,1
1u8ar,0,0,1,1,0,1,1,0,1
1u8dz,0,0,1,1,0,1,0,0,1
1uc9e,0,0,1,1,0,1,1,0,1
1ucp9,0,0,1,1,0,1,1,0,1
1ugnb,0,0,0,1,0,1,1,0,1
1uk1n,0,0,1,1,0,1,1,0,1
1um2k,0,0,1,1,1,1,1,0,1
1uq1s,0,0,0,1,0,0,0,0,1
1uyqo,0,0,1,1,0,1,1,0,0
1v5c0,0,1,1,1,1,1,1,0,0
1v6dv,0,0,1,1,1,1,1,0,0
1v7b5,0,0,1,1,0,1,1,0,1
1va5w,0,0,1,1,0,1,1,0,1
1vi4a,0,0,1,1,0,1,1,0,1
1w2d3,0,0,1,1,0,1,1,0,1
1w45u,0,0,0,1,0,0,0,0,1
1w7x4,0,0,1,0,0,1,1,0,1
1we82,0,0,1,0,0,1,1,0,0
1wevr,0,0,1,1,1,1,1,1,1
1wlmv,0,0,1,0,0,1,1,0,1
1wmxi,0,0,1,1,0,1,1,0,1
1wpjf,1,1,0,0,0,0,0,0,1
1wt2q,0,0,1,1,0,1,1,0,1
1wtez,1,0,0,0,0,0,0,0,1
1wtnl,0,0,1,1,0,1,1,0,0
1wuyt,0,1,1,1,1,1,1,1,1
1wvv4,0,0,0,1,0,1,1,0,1
1xa0x,0,0,0,1,0,1,1,0,1
1xelt,0,0,1,1,0,1,1,0,0
1xgc0,0,0,1,1,0,1,1,0,1
1xt3a,0,0,0,1,0,1,0,0,1
1y6kr,0,0,1,1,0,1,1,0,1
1yfkb,0,0,0,1,0,1,1,0,1
1yftp,0,1,1,1,0,1,1,0,0
1yht9,0,0,1,1,0,1,1,0,1
1yirp,0,0,1,1,0,1,1,0,1
1yppr,0,0,1,1,1,1,1,0,0
1z3sk,1,0,1,0,0,1,1,0,1
1z9c6,0,0,0,1,0,1,1,0,1
1za4p,0,0,0,1,0,1,1,0,1
1zf3m,0,1,1,1,0,1,1,0,1
1zfvn,0,0,0,0,0,0,0,0,1
1zjuy,0,0,0,1,0,1,1,0,1
1zngh,0,0,1,1,0,1,1,0,1
1zpzs,0,0,1,1,0,1,1,0,1
1zqhe,0,1,1,1,1,1,1,1,0
1zuh9,0,0,0,1,0,1,0,0,1
202i6,0,0,1,1,0,1,1,0,0
207ue,0,0,1,1,0,1,1,0,1
209b2,0,0,1,1,0,1,1,0,0
20b8p,0,0,1,1,0,1,1,0,1
20frc,1,0,0,1,0,0,0,0,1
20hsy,0,0,1,1,0,1,1,0,1
20icp,0,0,0,1,0,1,1,0,1
20nk1,0,0,1,0,0,1,1,0,1
20ukp,0,1,1,1,0,1,1,0,0
20uu8,0,0,1,1,1,1,1,0,1
20xc6,0,0,1,0,0,1,1,0,1
215s9,0,0,1,1,1,1,1,0,1
21l58,0,0,0,1,0,1,1,0,1
21qgl,0,0,0,1,0,0,1,0,1
21smj,0,0,1,1,0,1,1,0,1
222in,0,0,1,1,1,1,1,0,0
222va,0,0,1,1,0,1,1,0,1
2275p,0,0,1,0,1,1,1,0,1
